CMDLINE c:\users\timog\miniconda3\envs\pr1\python.exe 1bb.py
MEM 0.074219 1542483145.2184
MEM 10.472656 1542483145.3186
MEM 19.714844 1542483145.4189
MEM 27.625000 1542483145.5192
MEM 36.539062 1542483145.6195
MEM 39.019531 1542483145.7198
MEM 42.699219 1542483145.8200
MEM 47.429688 1542483145.9203
MEM 53.886719 1542483146.0205
MEM 59.230469 1542483146.1208
MEM 63.824219 1542483146.2211
MEM 68.226562 1542483146.3213
MEM 78.960938 1542483146.4216
MEM 86.804688 1542483146.5219
MEM 90.910156 1542483146.6221
MEM 97.386719 1542483146.7224
MEM 96.867188 1542483146.8227
MEM 98.234375 1542483146.9230
MEM 95.511719 1542483147.0233
MEM 96.687500 1542483147.1235
MEM 97.890625 1542483147.2238
MEM 95.167969 1542483147.3240
MEM 94.539062 1542483147.4243
MEM 99.792969 1542483147.5246
MEM 91.480469 1542483147.6248
MEM 78.085938 1542483147.7251
